Chem_name,SimpleTruth,Dial,Dove,Native,S1_Cntrl_201103,S1_Cntrl_201110,S1_Cntrl_201111,S1_Cntrl_201112,S1_SimpleTruth_201111,S1_Dial_201112,S1_Dove_201103,S1_Native_201110,S1SimpleTruth_210317,S1Dial_210317,S1Dove_210223,S1Native_210312,S1SimpleTruth_210318,S1Dial_210318,S1Dove_210317,S1Native_210317,S2_Cntrl_201117,S2_Cntrl_201125,S2_Cntrl_201208,S2_Cntrl_201209,S2_SimpleTruth_201117,S2_Dial_201209,S2_Dove_201208,S2_Native_211125,S2SimpleTruth_210303,S2Dial_210224,S2Dove_210224,S2Native_210303,S2SimpleTruth_210308,S2Dial_210308,S2Dove_210308,S2Native_210308,S3_Cntrl_201118,S3_Cntrl_201119,S3_Cntrl_201209,S3_Cntrl_201211,S3_SimpleTruth_201209,S3_Dial_201118,S3_Dove_201211,S3_Native_201119,S3SimpleTruth_210302,S3Dial_210311,S3Dove_210311,S3Native_210302,S3SimpleTruth_210309,S3Dial_210318,S3Dove_210318,S3Native_210309,S4_Cntrl_201204,S4_Cntrl_201207,S4_Cntrl_201201,S4_Cntrl_201203,S4_SimpleTruth_201203,S4_Dial_201204,S4_Dove_201207,S4_Native_201201,S4SimpleTruth_210223,S4Dial_210222,S4Dove_210222,S4Native_210223,S4SimpleTruth_210316,S4Dial_210226,S4Dove_210226,S4Native_210316,New_sample
Ambrox,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0,0,0.726,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0.346,0,0,0,0,0,0,0,0,0,0,0
"Azulene, 1,2,3,5,6,7,8,8a-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, [1S-(1a,7a,8aß)]-",0,0,2.849,0,0,0,0,0,0,0,0.409,0,0,0,1.872,0,0,0,50.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.949,0,0,0,0,0,0,0,0,0,0,0,0.599,0,0,0,45.517,0,0,0,0,0,0,0,0,0,0,0,1.3170000000000002,0,0,0,0.949,0,0
Benzaldehyde,2.2200000000000002,2.5280000000000005,0.995,26.948,0,0,0,0,0.25,0,0,0,0.524,0,0,0,0,0,0,0.738,0,0.297,0,0,0,0,0,0,0,0,0,0.9099999999999999,0,0,0,0,0,0.393,0,0,0.403,0,0.315,0.311,0,0,0,0,0,0,0,0,0,1.5359999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,2.2200000000000002
"Benzene, 2-(1,1-dimethylethyl)-1,4-dimethoxy-",0,0,0.851,0,0,0,0,0,0,0,0,0,0,0,0.856,0,0,0,12.186,0,0,0,0,0,0,0,0.8340000000000001,0,0,0,1.469,0,0,0,1.149,0,0,0,0,0,0,0,0.454,0,0,0,0.581,0,0,0,12.991,0,0,0,0,0,0,0,1.087,0,0,0,0,0,0,0,0,0,0
"Benzenemethanol, a-methyl-, acetate",0,4.165,0,0,0,0,0,0,0,1.2489999999999999,0,0,0,2.2800000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3519999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0,0,0,19.457,0,0,0,1.024,0,0,0
Benzyl Benzoate,0.98799999999999999,0,0,9.4149999999999991,0,0.155,0,0,0,0,0,0.099,0,0,0,0.644,0,0,0,1.281,0,0,0,0,0,0,0,0.873,0,0,0,0.688,0,0,0,1.793,0,0,0,0,0,0,0,0.188,0,0,0,0.819,0.502,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,4.468,0,0,0,1.052,0.98799999999999999
"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-, (1R)-",5.6689999999999996,0,6.832000000000001,7.0860000000000003,0,0,0,0,0,0,0,0,9.675,7.143000000000001,11.247,8.889,8.488,7.6770000000000005,51.162,9.157,0,0,0,0,0,0,0,0,9.536,10.184,8.678,12.085999999999999,0,11.432,12.168000000000001,7.486000000000001,0,0,0,0,0,0,0,0,0,22.57,11.248000000000001,13.408,11.466000000000001,0,53.768,0,0,0,0,0,0,0,0,0,9.671999999999999,42.431,9.116999999999999,57.687999999999995,8.214,9.878,11.509,7.085,5.6689999999999996
"Bicyclo[4.1.0]heptane, 3,7,7-trimethyl-, [1S-(1a,3ß,6a)]-",0,1.53,0,0,0,0,0,0,0,0,0,0,2.961,0,2.8810000000000002,0,2.561,1.2870000000000001,0,2.3369999999999997,0,0,0,0,0,0,0,0,0,0,0,2.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.283,0,0,0,0,0,0,0,0,0,0,0,0,0,9.824,0,17.353,2.3890000000000002,0,2.842,0,0
"Bicyclo[4.1.0]heptane, 7-(1-methylethylidene)-",0,0,1.173,0.73099999999999998,0,0,0,0,0,0,0,0,2.291,2.028,2.8810000000000002,2.172,2.2489999999999997,1.88,0,2.761,0,0,0,0,0,0,0,0,2.5829999999999997,2.595,2.336,3.013,2.197,3.101,3.3600000000000003,2.197,0,0,0,0,0,0,0,0,2.122,3.1119999999999997,0.7030000000000001,2.8000000000000003,2.722,0,0,8.567,0,0,0,0,0,0,0,0,3.099,0,2.273,15.03,1.431,2.3569999999999998,2.519,1.6189999999999998,0
"Bicyclo[4.2.0]oct-1-ene, 7-exo-ethenyl-",1.8720000000000001,1.62,1.848,1.5369999999999999,0,0,0,0,0,0,0,0,1.4580000000000002,1.967,1.621,2.308,1.609,1.603,12.451,1.516,0,0,0,0,0,0,0,0,2.59,1.593,1.8920000000000001,0,2.15,1.617,2.226,2.15,0,0,0,0,0,0,0,0,5.205,1.4580000000000002,1.427,1.6500000000000001,1.9220000000000002,0,6.132999999999999,6.082999999999999,0,0,0,0,0,0,0,0,0.958,4.004,1.973,8.724,2.0749999999999997,2.158,1.595,1.966,1.8720000000000001
"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester",0,3.769,0,0,0,0,0,0,0,4.222,0,0,0,14.424999999999999,0,0,0,2.3289999999999997,0,0,0,0,0,0,0,7.115,0,0,0,13.822000000000001,0,0,0,3.883,0,0,0,0,0,0,0,1.4480000000000002,0,0,0,0,0,0,0,1.4480000000000002,0,0,0,0,0,0,0,2.894,0,0,0,25.048,0,0,0,2.784,0,0,0
Caryophyllene,0,3.999,17.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.012999999999998,0,0,0,0,0,0,0,0,0,0,0.706,0.901,0,0,0,2.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.006,0,0,0,0,0,0,0,1.3769999999999998,0,0,0,0.936,0,0,0,0,0,0
cis-Verbenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9810000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1.058,0,0,0,0,0,0,1.018,0,0,0,0,0,0,0,0,16.283,2.152,0,1.183,1.237,0,0,4.238,0,0,0,0,0,0,0,0,1.2959999999999998,0,0,0,0.8699999999999999,0,0,0,0
"Cycloheptasiloxane, tetradecamethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.121,0,0,0,0,0,0,0,22.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.003,4.14,0,0,0,0,0,0,0,0,0,75.362,0,3.0020000000000002,0,0,0,0,0
Cyclohexane,0.45600000000000002,0,0,0,0,0.125,0.23099999999999998,0.24,0.27699999999999997,0,0.22499999999999998,0.228,0,0,0,0.532,0,0,0,0,0.295,0.379,0,0,0,0,0,0,0.492,0,0,0,0,0,0,0,0.153,0,0,0.15,0.195,0,0,0.207,0,0,0,0,0.521,0,0,0,0.29000000000000004,0,0,0.301,0,0,0,0,0,0,0,0,0,0.504,0,0,0.45600000000000002
"Cyclohexane, 1-methyl-4-(1-methylethylidene)-",1.698,0,2.47,1.329,0,0,0,0,0,0,0,0,0,2.476,0,2.787,0,0,15.232000000000001,0,0,0,0,0,0,0,0,0,2.8449999999999998,2.857,2.425,0,0,3.404,4.207,2.212,0,0,0,0,0,0,0,0,2.205,3.8329999999999997,2.702,0,3.024,0,0,10.529,0,0,0,0,0,0,0,0,2.431,0,2.529,0,0,0,0,2.4610000000000003,1.698
"Cyclohexane, 1-methylene-4-(1-methylethenyl)-",82.806999999999988,107.459,94.459,103.527,0,0,0,0,0,0,0,0,117.585,94.566,128.882,105.878,105.967,94.551,638.831,120.548,0,0,0,0,0,0,0,0,116.485,125.964,106.032,120.036,96.622,134.458,147.035,96.622,0,0,0,0,0,0,0,0,99.641,147.953,109.689,127.648,119.66300000000001,0,875.423,416.984,0,0,0,0,0,0,0,0,137.012,579.1790000000001,109.826,734.312,101.542,117.553,123.042,93.089,82.806999999999988
